,TIME,RATE,ERROR,FRACEXP
494,118022907.44376001,65.43432,8.0891485,1.0
495,118022908.44376001,75.82568,8.707794,1.0
496,118022909.44376001,77.158905,8.784014,1.0
497,118022910.44376001,100.8333,10.041578,1.0
498,118022911.44376001,91.03593,9.541275,1.0
499,118022912.44376001,63.311592,7.956858,1.0
500,118022913.44376001,74.76446,8.646645,1.0
501,118022914.44376001,65.312355,8.081606,1.0
502,118022915.44376001,75.91074,8.712677,1.0
503,118022916.44376001,73.791306,8.590186,1.0
504,118022917.44376001,77.2368,8.788447,1.0
505,118022918.44376001,67.63492,8.224045,1.0
506,118022919.44376001,76.401024,8.7407675,1.0
507,118022920.44376001,73.91302,8.597268,1.0
508,118022921.44376001,77.28588,8.791239,1.0
509,118022922.44376001,75.03072,8.662027,1.0
510,118022923.44376001,64.545364,8.034013,1.0
511,118022924.44376001,64.08345,8.005214,1.0
512,118022925.44376001,77.195694,8.786108,1.0
513,118022926.44376001,90.86056,9.532081,1.0
514,118022927.44376001,65.37959,8.085765,1.0
515,118022928.44376001,78.36716,8.852523,1.0
516,118022929.44376001,65.57259,8.097691,1.0
517,118022930.44376001,61.943657,7.870429,1.0
518,118022931.44376001,65.21525,8.075596,1.0
519,118022932.44376001,54.910828,7.410184,1.0
520,118022933.44376001,71.42166,8.451134,1.0
521,118022934.44376001,96.08503,9.802298,1.0
522,118022935.44376001,82.936775,9.106963,1.0
523,118022936.44376001,77.40389,8.797948,1.0
524,118022937.44376001,63.16289,7.9475083,1.0
525,118022938.44376001,82.05665,9.058513,1.0
526,118022939.44376001,73.712326,8.585588,1.0
527,118022940.44376001,65.49561,8.092936,1.0
528,118022941.44376001,60.844707,7.8003016,1.0
529,118022942.44376001,71.3458,8.446645,1.0
530,118022943.44376001,72.28657,8.502151,1.0
531,118022944.44376001,71.53212,8.457666,1.0
532,118022945.44376001,73.66914,8.583073,1.0
533,118022946.44376001,68.264366,8.262225,1.0
534,118022947.44376001,67.846115,8.236876,1.0
535,118022948.44376001,77.24358,8.788833,1.0
536,118022949.44376001,70.008896,8.367132,1.0
537,118022950.44376001,67.76188,8.23176,1.0
538,118022951.44376001,73.88767,8.595794,1.0
539,118022952.44376001,79.57812,8.920657,1.0
540,118022953.44376001,71.2875,8.4431925,1.0
541,118022954.44376001,66.497,8.15457,1.0
542,118022955.44376001,74.708,8.643379,1.0
543,118022956.44376001,69.138145,8.314935,1.0
544,118022957.44376001,70.23704,8.380754,1.0
545,118022958.44376001,77.044365,8.777492,1.0
546,118022959.44376001,77.11729,8.781645,1.0
547,118022960.44376001,78.00644,8.832126,1.0
548,118022961.44376001,77.26851,8.790251,1.0
549,118022962.44376001,74.93693,8.656611,1.0
550,118022963.44376001,80.71812,8.984326,1.0
551,118022964.44376001,80.3647,8.964636,1.0
552,118022965.44376001,86.455696,9.298156,1.0
553,118022966.44376001,76.894295,8.768939,1.0
554,118022967.44376001,80.60727,8.978155,1.0
555,118022968.44376001,75.79992,8.706315,1.0
556,118022969.44376001,78.1791,8.841894,1.0
557,118022970.44376001,58.372234,7.6401725,1.0
558,118022971.44376001,52.789417,7.2656326,1.0
559,118022972.44376001,83.999306,9.165113,1.0
560,118022973.44376001,70.484024,8.395476,1.0
561,118022974.44376001,65.85857,8.115329,1.0
562,118022975.44376001,73.51212,8.573921,1.0
563,118022976.44376001,84.39026,9.186417,1.0
564,118022977.44376001,72.626,8.522089,1.0
565,118022978.44376001,84.022125,9.166358,1.0
566,118022979.44376001,87.65401,9.362371,1.0
567,118022980.44376001,67.79735,8.233914,1.0
568,118022981.44376001,75.824814,8.707745,1.0
569,118022982.44376001,69.091255,8.312115,1.0
570,118022983.44376001,78.35747,8.851975,1.0
571,118022984.44376001,68.79808,8.294461,1.0
572,118022985.44376001,85.36286,9.2392025,1.0
573,118022986.44376001,71.14426,8.434706,1.0
574,118022987.44376001,87.58792,9.358842,1.0
575,118022988.44376001,72.66949,8.52464,1.0
576,118022989.44376001,77.53014,8.80512,1.0
